№1 | внешний вызов: 6 этаж
№1 | передвижение: 1 -> 2 (6)
№1 | передвижение: 2 -> 3 (6)
№1 | передвижение: 3 -> 4 (6)
№1 | передвижение: 4 -> 5 (6)
№2 | внешний вызов: 3 этаж
№1 | передвижение: 5 -> 6 (6)
№2 | передвижение: 1 -> 2 (3)
№1 | пассажир вошел
№1 | внутренний вызов: 9 этаж
№2 | передвижение: 2 -> 3 (3)
№1 | передвижение: 6 -> 7 (9)
№2 | пассажир вошел
№2 | внутренний вызов: 7 этаж
№1 | передвижение: 7 -> 8 (9)
№2 | передвижение: 3 -> 4 (7)
№1 | передвижение: 8 -> 9 (9)
№2 | передвижение: 4 -> 5 (7)
№1 | пассажир вышел
№2 | передвижение: 5 -> 6 (7)
№2 | внешний вызов: 2 этаж
№2 | передвижение: 6 -> 7 (7)
№2 | пассажир вышел
№2 | передвижение: 7 -> 6 (2)
№2 | передвижение: 6 -> 5 (2)
№2 | передвижение: 5 -> 4 (2)
№2 | передвижение: 4 -> 3 (2)
№2 | внешний вызов: 8 этаж
№2 | передвижение: 3 -> 2 (2)
№2 | пассажир вошел
№2 | внутренний вызов: 1 этаж
№2 | передвижение: 2 -> 1 (1)
№2 | пассажир вышел
№2 | передвижение: 1 -> 2 (8)
№2 | передвижение: 2 -> 3 (8)
№2 | передвижение: 3 -> 4 (8)
№1 | внешний вызов: 8 этаж
№1 | передвижение: 9 -> 8 (8)
№2 | передвижение: 4 -> 5 (8)
№1 | пассажир вошел
№1 | внутренний вызов: 7 этаж
№2 | передвижение: 5 -> 6 (8)
№1 | передвижение: 8 -> 7 (7)
№1 | пассажир вышел
...
