№1 | внешний вызов: 4 этаж
№1 | передвижение: 1 -> 2 (4)
№1 | передвижение: 2 -> 3 (4)
№1 | передвижение: 3 -> 4 (4)
№1 | пассажир вошел
№1 | внутренний вызов: 3 этаж
№1 | передвижение: 4 -> 3 (3)
№1 | пассажир вышел
№1 | внешний вызов: 5 этаж
№1 | передвижение: 3 -> 4 (5)
№1 | передвижение: 4 -> 5 (5)
№1 | пассажир вошел
№1 | внутренний вызов: 6 этаж
№1 | передвижение: 5 -> 6 (6)
№1 | пассажир вышел
№1 | внешний вызов: 4 этаж
№1 | передвижение: 6 -> 5 (4)
№1 | передвижение: 5 -> 4 (4)
№1 | пассажир вошел
№1 | внутренний вызов: 9 этаж
№1 | передвижение: 4 -> 5 (9)
№1 | передвижение: 5 -> 6 (9)
№1 | передвижение: 6 -> 7 (9)
№1 | внешний вызов: 8 этаж
№1 | передвижение: 7 -> 8 (8)
№1 | пассажир вошел
№1 | внутренний вызов: 9 этаж
№1 | передвижение: 8 -> 9 (9)
№1 | пассажир вышел
№1 | пассажир вышел
